hotel_id,address,rank,Description,Amenities,score,Location,Cleanliness,Service,Value,n_Excellent,n_VeryGood,n_Average,n_Poor,n_Terrible
41,"Royal London House 22-25 Finsbury Square, London EC2A 1DX England",7,"See why so many travellers make Montcalm Royal London House - City of London their hotel of choice when visiting London. Providing an ideal mix of value, comfort and convenience, it offers a luxury setting with an array of amenities designed for travellers like you.Given the close proximity of popular landmarks, such as Covent Garden (1.7 mi) and Coca-Cola London Eye (1.9 mi), guests of Montcalm Royal London House - City of London can easily experience some of London's most well known attractions.Rooms at Montcalm Royal London House - City of London provide a flat screen TV, a minibar, and air conditioning, and guests can stay connected with free wifi.In addition, while staying at Montcalm Royal London House - City of London guests have access to 24 hour front desk, room service, and a concierge. You can also enjoy a pool and an on-site restaurant.While you’re here, be sure to check out some of the steakhouses, including Flat Iron Covent Garden, Flat Iron Beak Street, and Hawksmoor Seven Dials, all of which are a short distance from Montcalm Royal London House - City of London.There is no shortage of things to do in the area: explore popular monuments and statues such as The Monument to the Great Fire of London, Bomber Command Memorial, and Battle of Britain Monument.At Montcalm Royal London House - City of London, your comfort and satisfaction come first, and they look forward to welcoming you to London.","['Free High Speed Internet (WiFi)', 'Pool', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Bicycle rental', 'Babysitting', 'Airport transportation', 'Business Centre with Internet Access', 'Internet', 'Heated pool', 'Restaurant', 'Breakfast buffet', 'Complimentary instant cofffee', 'Special diet menus', 'Rooftop bar', 'Meeting rooms', 'Spa', 'Rooftop terrace', 'Concierge', 'Currency exchange', 'Executive lounge access', 'Newspaper', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Air conditioning', 'Desk', 'Room service', 'Safe', 'Minibar', 'Flatscreen TV', 'iPod docking station', 'Complimentary toiletries', 'Seating area', 'Telephone', 'VIP room facilities', 'Clothes rack', 'Iron', 'Laptop safe', 'Wake-up service / alarm clock', 'Hair dryer', 'Non-smoking rooms', 'Suites', 'Family rooms']",5.0,4.5,5.0,5.0,4.5,1850,232,62,17,11
42,"11 Thurloe Place Knightsbridge, London SW7 2RS England",276,"A favourite of independent business and leisure travellers from all over the world, this 4-star hotel gets the details right: complimentary WiFi, free English breakfast, a popular lounge bar and restaurant, and discounted use of the adjacent spa and swimming pool at Aquilla Health and Fitness Club. The Rembrandt's beautifully modernised Edwardian rooms were originally apartments for Harrods. The building itself dates from 1911, and was one of the first steel and concrete structures in the UK. All 194 rooms and suites are smartly designed to feel both spacious and cosy, with high technology including flat-screen TVs, free WiFi and free local calls. WiFi is also free in public areas. All guests enjoy a free full English breakfast buffet, included in the room rate. Palette Restaurant serves seasonal British and international cuisine at lunchtimes, including a traditional carvery most days and always on Sundays. In the evenings, you can dine in the stylish Conservatory Bar, or sip a cocktail in 1606 Lounge Bar. And what better way to celebrate your visit to London than with a traditional Afternoon Tea, complete with finger sandwiches and fresh scones with clotted cream? The Rembrandt Hotel places you directly across from London's Victoria and Albert Museum (V&A), within a 10-minute walk of the Natural History Museum, Science Museum, Hyde Park, Harrods and the Royal Albert Hall. The location is superb – surrounded by restaurants, bars, shops and cultural attractions. You can stroll to South Kensington underground station in five minutes. From here, District, Circle and Piccadilly Tube lines take you straight to the City of London, Heathrow Airport and mainline train stations including Paddington and Victoria.","['Paid private parking nearby', 'Free High Speed Internet (WiFi)', 'Pool', 'Fitness Centre with Gym / Workout Room', 'Free breakfast', 'Car hire', 'Business Centre with Internet Access', 'Conference facilities', 'Wifi', 'Pool / beach towels', 'Fitness / spa changing rooms', 'Personal trainer', 'Sauna', 'Bar / lounge', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Breakfast in the room', 'Complimentary instant cofffee', 'Complimentary tea', 'Happy hour', 'Kid-friendly buffet', ""Kids' meals"", 'Wine / champagne', 'Taxi service', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Spa', 'Body wrap', 'Facial treatments', 'Foot massage', 'Full body massage', 'Hand massage', 'Head massage', 'Manicure', 'Massage', 'Neck massage', 'Pedicure', 'Salon', 'Steam room', 'Waxing services', '24-hour security', 'Baggage storage', 'Concierge', 'Currency exchange', 'Newspaper', 'Non-smoking hotel', 'Shared lounge / TV area', 'ATM on site', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Blackout curtains', 'Bathrobes', 'Air conditioning', 'Desk', 'Housekeeping', 'Minibar', 'Cable / satellite TV', 'Bath / shower', 'Interconnected rooms available', 'Room service', 'Safe', 'Seating area', 'Telephone', 'Wardrobe / wardrobe', 'Bottled water', 'Iron', 'Private bathrooms', 'Wake-up service / alarm clock', 'Electric kettle', 'Flatscreen TV', 'Complimentary toiletries', 'Hair dryer', 'City view', 'Non-smoking rooms', 'Suites', 'Family rooms']",4.0,5.0,4.5,4.5,4.0,1539,1380,321,123,96
43,"54 Buckingham Gate, London SW1E 6AF England",167,"In a country that values understatement, St. James' Court is an English classic typifying the concealed charm of one of Britain's finest hotels. The custom of St. James’ Court, A Taj Hotel is the distinctive choice for more than service with a smile. With a distinguished pedigree shaped over more than a century, this discreet Victorian masterpiece with its famous Shakespearean Courtyard is perfectly placed between Buckingham Palace and the Houses of Parliament in a historic enclave marking the centre of power. Crisp and elegant, with an easy charm that’s reserved, yet attentive, we strive to make each visit more pleasurable and memorable. Exceeding the expectations of today’s discerning traveller, St. James' Court is a slice of the past served up on a contemporary platter.","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Taxi service', 'Business Centre with Internet Access', 'Conference facilities', 'Spa', 'Wifi', 'Fitness / spa changing rooms', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Breakfast in the room', 'Snack bar', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Facial treatments', 'Massage', 'Salon', '24-hour security', 'Baggage storage', 'Concierge', 'Currency exchange', 'Newspaper', 'Shared lounge / TV area', 'Butler service', 'Doorperson', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'VIP room facilities', 'Iron', 'Minibar', 'Flatscreen TV', 'Non-smoking rooms', 'Suites', 'Family rooms']",4.5,5.0,4.5,4.5,4.0,2979,1338,431,172,99
44,"47 Lillie Road, London SW6 1UD England",572,"In line with local government recommendations, we have closed the restaurant and bar in our hotel. Where possible, we are providing room service or grab and go options for guests. The Ibis London Earls Court is located in West London, 2 min from West Brompton and 5 min from Earls Court underground station (District and Piccadilly lines). 3 km from Knightsbridge, it has 504 rooms, a restaurant, a typical English pub serving snacks 24 hours and undercover pay parking. 8 meeting rooms seating up to 1,200 persons. Wireless Internet access available for guests on business stays.","['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Bar / lounge', 'Billiards', 'Taxi service', 'Business Centre with Internet Access', 'Conference facilities', '24-hour security', 'Secured parking', 'Wifi', 'Restaurant', 'Breakfast buffet', 'Complimentary instant cofffee', ""Kids' meals"", 'Snack bar', 'Special diet menus', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Currency exchange', 'Non-smoking hotel', 'ATM on site', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'Telephone', 'Iron', 'Wake-up service / alarm clock', 'Flatscreen TV', 'Non-smoking rooms']",3.5,4.0,4.0,4.0,4.0,956,2696,1362,297,179
45,"128 King Henry's Road, London NW3 3ST England",322,"London Marriott Hotel Regents Park provides a convenient base for the astute business traveller and leisure guest. This 4 star North London, England hotel offers spacious facilities and competitive rates combined with a close proximity to the city centre. Located a short walk from Swiss Cottage underground station on the Jubilee Line, the hotel is perfect for shoppers, visitors to the city and sports fans alike with direct connections to Wembley Stadium, Lord's Cricket Ground, Bond Street, Buckingham Palace, Parliament Square and Canary Wharf. In addition, the lively markets of Camden Town, Primrose Hill with its chic shops, quaint cafes and panoramic views across London are all just a short walk or bus ride away. The hotel has 304 spacious bedrooms. The Leisure Club's extensive onsite facilities benefit from a 15m swimming pool, sauna, steam room, solarium, gym and hair and beauty salons. Additional services include 24 hour room service and on-site car parking.","['Parking', 'Wifi', 'Pool', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Car hire', 'Business Centre with Internet Access', 'Conference facilities', 'Paid wifi', 'Indoor pool', 'Heated pool', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Banquet room', 'Meeting rooms', 'Salon', 'Baggage storage', 'Concierge', 'Currency exchange', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Ironing service', 'Air conditioning', 'Housekeeping', 'Private balcony', 'Room service', 'Safe', 'Flatscreen TV', 'Non-smoking rooms', 'Suites', 'Family rooms']",4.0,4.0,4.5,4.5,4.0,1247,1018,346,125,106
46,"South Quay, Marsh Wall, London E14 9SH England",84,"Situated conveniently in the heart of London’s business district, Hilton London Canary Wharf is an obvious and popular choice for business visitors. As one of our guests you will have access to a high-speed internet connection, spacious desks to work from, a 24-hour business center and many other comforts. Rooms are fitted with a widescreen TV and an alarm clock that lets you plug in your MP3 player, meaning you can wake up to your favourite music.When you’re not busy working, make the most of the sauna, steam room or work out in the well-equipped fitness center. Or sip on a well-earned cocktail in the very popular Canary Wharf restaurant, Cinnamon. Hilton London Canary Wharf is very close to the O2 Arena and Westfield shopping complex in Stratford. This hotel is a great choice for anyone wanting to be close to where business happens but not too far from all the tourist attractions.","['Parking', 'Free internet', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Business Centre with Internet Access', 'Conference facilities', 'Baggage storage', 'Concierge', 'Wifi', 'Paid wifi', 'Fitness / spa changing rooms', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Currency exchange', 'Non-smoking hotel', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'Iron', 'Minibar', 'Refrigerator', 'Flatscreen TV', 'Non-smoking rooms', 'Suites']",4.5,4.5,4.5,4.5,4.5,3052,1202,259,70,39
47,"45 Prescot Street, London E1 8GP England",296,"Leonardo Royal London Tower Bridge redefines luxury accommodation and events facilities within the famous Tower Bridge district. Signature facilities include an expansive Conference and Events Centre, together with a luxurious Wellness Centre offering an extensive range of beauty and holistic treatments. Leonardo Royal London Tower Bridge incorporates renewable solar and photovoltaic panels, and has an on-site borehole to reduce water consumption – making it one of the most energy-efficient hotels to open in recent years.","['Free High Speed Internet (WiFi)', 'Pool', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Taxi service', 'Business Centre with Internet Access', 'Conference facilities', 'Spa', 'Wifi', 'Hot bath', 'Indoor pool', 'Heated pool', 'Fitness / spa changing rooms', 'Sauna', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Banquet room', 'Meeting rooms', 'Concierge', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'VIP room facilities', 'Minibar', 'Flatscreen TV', 'Non-smoking rooms', 'Suites']",4.0,4.5,4.5,4.5,4.0,427,171,73,42,40
48,"Catherine Grove, London SE10 8FR England",223,"Located in Royal Greenwich, DoubleTree By Hilton London Greenwich is just a 15 minute walk from the Cutty Sark, Maritime Museum and near the O2 Arena. Close to Canary Wharf, Excel Exhibition Centre and with great transport links to Central London, this London Hotel is easily accessible via the DLR from Greenwich station and is near to Greenwich Market and the observatory. This 4* hotel offers free wi-fi in all bedrooms, the restaurant and bar. Use of the hotel gym is free for all guests.","['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Restaurant', 'Taxi service', 'Business Centre with Internet Access', 'Conference facilities', 'Baggage storage', 'Secured parking', 'Wifi', 'Breakfast available', 'Breakfast buffet', 'Breakfast in the room', 'Complimentary instant cofffee', 'Complimentary tea', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Non-smoking hotel', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'Flatscreen TV', 'Hair dryer', 'Non-smoking rooms', 'Suites', 'Family rooms']",4.5,4.0,4.5,4.5,4.5,1256,693,185,83,53
49,"18 Albert Embankment, London SE1 7TJ England",357,"Situated in the heart of London on the bank of the River Thames, Plaza on the River provides 90 generously sized suites with exquisite views of the Houses of Parliament and Big Ben. You can enjoy sophisticated amenities, such as free Wi-Fi, a fitness centre, business services and the Pan-Asian Chino Latino® restaurant and bar. A short walk from Vauxhall Station, our South Bank hotel puts guests within easy reach of the famous West End, the financial district, Westminster Abbey, the London Eye, Tate Britain and other beloved attractions. Visitors in London for business, pleasure or romance can enjoy relaxing accommodation with a view at one of the finest hotels in London—Plaza on the River.","['Parking', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Evening entertainment', 'Business Centre with Internet Access', 'Conference facilities', 'Spa', 'Wifi', 'Fitness / spa changing rooms', 'Restaurant', 'Breakfast buffet', 'Complimentary instant cofffee', 'Banquet room', 'Meeting rooms', 'Baggage storage', 'Concierge', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Air conditioning', 'Housekeeping', 'Private balcony', 'Room service', 'Safe', 'Kitchenette', 'Microwave', 'Flatscreen TV', 'Iron', 'Laptop safe', 'Non-smoking rooms', 'Suites', 'Family rooms']",4.5,4.5,4.5,4.5,4.0,1365,405,162,94,72
50,"25 Courtfield Gardens, London SW5 0PG England",58,"** IMPORTANT MESSAGE ** The UK Government now recognises Covid 19 threat as the greatest peacetime challenge to our society. We have to act in the best interests of our guests and our teams at this time and in this context, it is right to close all our hotels temporarily, from Monday 23rd March 2020 until Thursday 30th April 2020 in the first instance, with the expectation that the temporary closure could last until Sunday 21st June 2020. In line with the UK Government approach, we will review the situation formally each month with our first review on Friday 24th April 2020. The Resident Kensington Located in a fabulous location next to a quiet Kensington Garden Square. This original townhouse and mews has been interior designed to provide all guest rooms with air-conditioning, free Wi-Fi, HDTVs with 6,000 track music library, internet and games, mini-kitchen, 24-hr Reception & Concierge Service, daily maid service and oversized power showers or baths. The hotel has excellent transport connections and is in close walking distance of Earl's Court tube station.","['Free High Speed Internet (WiFi)', 'Breakfast in the room', 'Taxi service', 'Baggage storage', 'Concierge', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Wifi', 'Complimentary instant cofffee', 'Complimentary tea', 'Newspaper', 'Non-smoking hotel', 'Air conditioning', 'Housekeeping', 'Safe', 'Telephone', 'Kitchenette', 'Microwave', 'Flatscreen TV', 'Complimentary toiletries', 'Iron', 'Refrigerator', 'Kitchenware', 'Non-smoking rooms', 'Suites']",4.5,4.5,5.0,4.5,4.5,2996,1191,162,53,26
51,"18 Albert Embankment, London SE1 7TJ England",424,"With landmarks such as Big Ben, the London Eye, Westminster Abbey and Tate Britain just a stone’s throw away, the award-winning Park Plaza London Riverbank is the perfect base for a London adventure. The hotel’s 645 guest rooms include Studio Rooms and Suites with pull-out sofa beds. Perfect for families, or those looking for more space. Guests can also upgrade to the 12th floor Executive Lounge with views from Battersea to the Houses of Parliament, and complimentary drinks and snacks throughout the day. Additional facilities include Chino Latino Pan-Asian Restaurant & Bar, 24-hour room service, an indoor pool and fitness centre.","['Valet parking', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Kids pool', 'Highchairs available', 'Taxi service', 'Conference facilities', 'Wifi', 'Fitness / spa changing rooms', 'Sauna', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Breakfast in the room', 'Complimentary instant cofffee', 'Complimentary tea', ""Kids' meals"", 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Steam room', '24-hour security', 'Baggage storage', 'Concierge', 'Currency exchange', 'Executive lounge access', 'Non-smoking hotel', 'First aid kit', 'Umbrella', '24-hour front desk', 'Laundry service', 'Ironing service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'Dishwasher', 'Flatscreen TV', 'Sofa bed', 'Walk-in shower', 'Seating area', 'Separate living room', 'Sofa', 'Telephone', 'VIP room facilities', 'Wardrobe / wardrobe', 'Iron', 'Wake-up service / alarm clock', 'Refrigerator', 'Kitchenware', 'On-demand films', 'Bath / shower', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms', 'Suites']",4.0,4.5,4.5,4.0,4.0,748,361,184,115,118
52,"14-16 Craven Hill, Lancaster Gate, London W2 3DU England",39,"Everyone needs a place to lay their weary head. For travellers visiting London, Park Grand London Lancaster Gate is an excellent choice for rest and rejuvenation. Well-known for its family-friendly environment and proximity to great restaurants and attractions, Park Grand London Lancaster Gate makes it easy to enjoy the best of London.Park Grand London Lancaster Gate offers guests an array of room amenities including a flat screen TV, a minibar, and air conditioning, and getting online is possible, as free wifi is available.The hotel offers 24 hour front desk, room service, and a concierge, to make your visit even more pleasant. The property also features breakfast.For those interested in checking out popular landmarks while visiting London, Park Grand London Lancaster Gate is located a short distance from Buckingham Palace (1.9 mi) and Piccadilly Circus (2.0 mi).If you’re looking for an Asian restaurant, consider a visit to Dishoom Covent Garden, StreetXO, or Sexy Fish, which are all conveniently located a short distance from Hyde Park Premier London Paddington Hotel.During your visit, be sure to check out popular attractions like Natural History Museum (1.2 mi), Harrods (1.2 mi), and V&A - Victoria and Albert Museum (1.2 mi), which are all within walking distance of the hotel.Whether you’re travelling for business, pleasure or both, Park Grand London Lancaster Gate is sure to make your visit to London one worth remembering.","['Free High Speed Internet (WiFi)', 'Sauna', 'Bar / lounge', 'Bicycle rental', 'Car hire', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Wifi', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Breakfast in the room', 'Complimentary instant cofffee', 'Complimentary tea', 'Taxi service', 'Concierge', 'Currency exchange', 'Newspaper', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Blackout curtains', 'Air conditioning', 'Fireplace', 'Housekeeping', 'Room service', 'Microwave', 'Minibar', 'Flatscreen TV', 'Safe', 'Iron', 'Wake-up service / alarm clock', 'Refrigerator', 'Non-smoking rooms']",4.5,4.5,5.0,5.0,4.5,2380,537,70,19,9
53,"Durham Road Durham House, London SW3 4ET England",405,"See why so many travellers make Travelodge London Raynes Park their hotel of choice when visiting London. Providing an ideal mix of value, comfort and convenience, it offers a family-friendly setting with an array of amenities designed for travellers like you.Guest rooms offer a flat screen TV, and Travelodge London Raynes Park makes getting online easy as wifi is available.In addition, guests can enjoy an on-site restaurant during their visit. As an added convenience, there is free parking available to guests.Given the close proximity of popular landmarks, such as Regent Street (1.3 mi) and Buddhapadipa Temple (1.6 mi), guests of Travelodge London Raynes Park can easily experience some of London's most well known attractions.If you are looking for a good seafood restaurant, you may want to check out Sticks'N'Sushi Wimbledon, Wandle Pirates, or NYEAT while staying at Travelodge London Raynes Park.If you are looking for something to do in the area, Southside House (0.8 mi) is a popular attraction that is within walking distance of Travelodge London Raynes Park.We’re sure you’ll enjoy your stay at Travelodge London Raynes Park as you experience all of the things London has to offer.","['Free parking', 'Wifi', 'Paid wifi', 'Bar / lounge', 'Restaurant', 'Breakfast buffet', 'Complimentary instant cofffee', 'Non-smoking hotel', 'Flatscreen TV', 'Non-smoking rooms']",4.0,4.5,4.5,4.5,4.0,163,134,42,23,14
54,"67-69 Gloucester Road, London SW7 4PG England",272,"Montana Hotel is a unique 55-room boutique hotel situated in the heart of Kensington, Knightsbridge and Chelsea. The Montana perfectly blends Victorian architecture and traditional English ambience with contemporary touches, ensuring you a unique travel experience in Kensington, one of the world’s most exclusive and fashionable neighbourhoods. Our aim is to make you feel at home, providing you an efficient four-star service and an exceptional travel experience. Recently refurbished, classic and elegant rooms combine all contemporary amenities needed, whether travelling to London for business or leisure. All rooms have their own character and personal touches, whether a large and spacious room for family travellers or a warm and cosy room for the single traveller. Luxury and comfort will await you in each of our 55 en-suite guest bedrooms. Before you settle down for a good night’s sleep, savour exquisitely presented cuisine in the hotel’s restaurant Light of India. The Light of India offers a continental breakfast and a full a la carte menu for lunch and dinner featuring the finest Indian cuisine.","['Free High Speed Internet (WiFi)', 'Wifi', 'Free breakfast', 'Taxi service', '24-hour security', 'Baggage storage', '24-hour check-in', '24-hour front desk', 'Bar / lounge', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Kid-friendly buffet', 'Concierge', 'Non-smoking hotel', 'Express check-in / check-out', 'Air conditioning', 'Housekeeping', 'Safe', 'Telephone', 'Refrigerator', 'Flatscreen TV', 'Hair dryer', 'Non-smoking rooms', 'Family rooms']",4.0,4.5,4.0,4.0,4.0,390,459,213,65,49
55,"4 Portal Way Gypsy Corner, A40, London W3 6RT England",141,"Welcome to Holiday Inn London-West. Discover a fantastic arrival experience at the Holiday Inn London - west with our new beautifully designed Open Lobby and stunning brand new Executive Rooms (including some with London skyline views). Our hotel is conveniently located between Heathrow Airport and the centre of London, with Park Royal, the largest business park in London, and Wembley Stadium just a few minutes' drive away. The shopping, business and entertainment areas of London are easily accessible by London Underground (North Acton tube station on Central Line is under five-minute walk from the hotel). Book a room with us and you'll be guaranteed a memorable stay experience.","['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Taxi service', 'Business Centre with Internet Access', 'Conference facilities', 'Baggage storage', 'Secured parking', 'Wifi', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Snack bar', 'Special diet menus', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Newspaper', 'Non-smoking hotel', 'Sun terrace', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Shoeshine', 'Soundproof rooms', 'Desk', 'Housekeeping', 'Room service', 'Safe', 'Flatscreen TV', 'Sofa bed', 'Walk-in shower', 'Telephone', 'VIP room facilities', 'Iron', 'Bath / shower', 'Complimentary toiletries', 'Hair dryer', 'City view', 'Non-smoking rooms', 'Family rooms']",4.5,4.0,4.5,4.5,4.0,653,353,108,44,30
56,"117 Poplar High Street, London E14 0AE England",175,"Canary Wharf’s only heritage hotel Welcome to the Lansbury Heritage Hotel, a boutique luxury hotel located just a short walk from London’s iconic Canary Wharf and with fast transport links to all of the capital’s main attractions. Business and tourist guests arrive to an oasis of calm created in a beautifully restored historic Grade II listed building that combines modern style and luxury with a sense of place and distinguished grandeur. Surrounded by leafy churchyards and Grade I listed buildings, this landmark heritage hotel has a rich and fascinating history – from the East India Company building its first chapel and almshouses on the site in 1628 to the famous Labour politicians standing up for the poor of East London in the 1890s. With its landmark octagonal domed tower, the hotel is the centre point of this highly protected conservation area – surprisingly in its proximity to Canary Wharf – and provides a welcome retreat from the constant rush hour of international business on its doorstep.","['Street parking', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Tennis court offsite', 'Children Activities (Kid / Family Friendly)', 'Taxi service', 'Conference facilities', 'Wifi', 'Fitness / spa changing rooms', 'Sauna', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Breakfast in the room', 'Complimentary instant cofffee', 'Complimentary tea', ""Kids' meals"", 'Snack bar', 'Special diet menus', 'Wine / champagne', 'Meeting rooms', 'Fax / photocopying', 'Spa', 'Steam room', '24-hour security', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'Outdoor furniture', 'Sun terrace', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Allergy-free room', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'Minibar', 'Refrigerator', 'Flatscreen TV', 'VIP room facilities', 'Bottled water', 'Non-smoking rooms', 'Suites']",4.5,4.0,5.0,4.5,4.5,266,84,23,7,11
57,"4 Broad Court Bow Street, London WC2B 5QZ England",330,"Finding an ideal romantic hotel in London does not have to be difficult. Welcome to The Fielding Hotel, a nice option for travelers like you. Given the close proximity of popular landmarks, such as Sky Garden (1.7 mi) and Tower of London (2.0 mi), guests of The Fielding Hotel can easily experience some of London's most well known attractions. You’ll enjoy relaxing rooms that offer a flat screen TV and air conditioning, and you can stay connected during your stay as Fielding Hotel offers guests free wifi. The hotel features a 24 hour front desk and baggage storage. While you’re here, be sure to check out some of the restaurants, including Dishoom Covent Garden, SUSHISAMBA Liverpool Street, and StreetXO, all of which are a short distance from Fielding Hotel. There is no shortage of things to do in the area: explore popular architectural buildings such as Westminster Abbey,The View from The Shard, and Houses of Parliament. The Fielding Hotel looks forward to welcoming you on your visit to London. Sajaad Khan Hotel General Manager","['Free High Speed Internet (WiFi)', 'Complimentary instant cofffee', 'Complimentary tea', 'Taxi service', 'Baggage storage', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Air conditioning', 'Desk', 'Safe', 'Telephone', 'Cable / satellite TV', 'Flatscreen TV', 'Complimentary toiletries', 'Hair dryer', 'Wardrobe / wardrobe', 'Bottled water', 'Wake-up service / alarm clock', 'Non-smoking rooms', 'Family rooms']",4.0,5.0,4.5,4.5,4.0,401,316,70,25,25
58,"335-337 High Street, London E15 2TF England",150,"The Westbridge Hotel exudes all the luxury and comfort you would expect from a modern 4 star hotel situated in a Grade II listed building dating back to 18th century. There are 80 rooms with free WIFI internet access, individually controlled air conditioning and private bathrooms with walk in showers, luxury amenities and a hairdryer, LED Smart TVs, phone, small fridge, safe, iron, and tea and coffee making facilities. The Westbridge Hotel Restaurant & Bar is a contemporary restaurant where you can enjoy a hearty breakfast and delicious English brasserie inspired dishes thought dinner with extensive selection of wines and drinks. Facilities include 24hr Reception, Gym, Lounge, Courtyard, Restaurant and Bar. No parking is available on site.","['Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Baggage storage', 'Concierge', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Wifi', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Complimentary tea', 'Non-smoking hotel', 'Laundry service', 'Ironing service', 'Air conditioning', 'Room service', 'Telephone', 'Wardrobe / wardrobe', 'Refrigerator', 'Cable / satellite TV', 'Flatscreen TV', 'Walk-in shower', 'Private bathrooms', 'Wake-up service / alarm clock', 'On-demand films', 'Radio', 'Complimentary toiletries', 'Hair dryer', 'City view', 'Non-smoking rooms', 'Suites']",4.5,4.5,4.5,4.5,4.5,1236,671,106,36,13
