name,address,rate,price,rank,suggested duration,description,attraction type,n_Excellent,n_VeryGood,n_Average,n_Poor,n_Terrible
St. Pancras International Station,"5B Greenwich Market A206, London SE10 9HZ England",4.5,0,210,N/A,"This indoor market dates back to 1737 and is the only in London located on a World Heritage site. Antiques, arts and crafts and London designer-mak","['Shopping', 'Flea & Street Markets']",728,687,156,36,13
Battersea Park,"Lambeth Bridge to Blackfriars Bridge south to St George's Circus, London SE1 England",4.5,0,115,N/A,"South Bank is a beautiful riverside stretch in the heart of London featuring the Coca-Cola London Eye, SEA LIFE London Aquarium, Imperial War Museum London, Southbank Centre, National Theatre, top hotels, shopping, dining and more. Located walking...","['Other', 'Concerts & Shows', 'Sights & Landmarks', 'Theatres', 'Historic Walking Areas', 'Neighbourhoods', 'More']",974,590,63,15,11
Charles Dickens Museum,"Columbia Road, London E2 7RG England",4.5,0,140,N/A,"Columbia Road flower market and shops are open every Sunday from 8am until about 3pm. As well as the market, there is also a mass of independent shops, selling everything from jewellery and vintage clothes, to antiques, cupcakes, art and furniture...","['Shopping', 'Flea & Street Markets']",381,213,48,13,6
Brick Lane,"8 Argyll Street, London W1F 7TF England",4.5,0,206,3,"Designed in 1910 by Frank Matcham, this famous London theater has a seating capacity of 2,","['Concerts & Shows', 'Theatres']",1109,494,181,99,90
The Monument to the Great Fire of London,"Leake Street, London SE1 7NN England",4.5,0,77,2,"Leake Street Arches is a celebration of urban art, dining and entertainment live from Waterloo. Eight former railway arches next to the famous Graffiti Tunnel have been brought back to life to provide a curated collection of independent restaurants...","['Sights & Landmarks', 'Points of Interest & Landmarks']",87,33,7,1,0
Carnaby Street,N/A,4.0,0,103,N/A,N/A,"['Concerts & Shows', 'Theatres']",750,242,52,34,31
St. Katharine Docks,N/A,4.5,0,213,N/A,N/A,"['Sights & Landmarks', 'Other', 'Neighbourhoods']",349,309,82,12,7
Old Operating Theatre,"Burlington House Piccadilly Piccadilly, London W1J 0BD England",4.5,0,217,N/A,"Founded in 1768, this thriving center of artistic excellence is the oldest fine arts institution in Britain, whose exhibitions attract over a million people each y","['Museums', 'Sights & Landmarks', 'Educational sites', 'Art Museums', 'More']",1243,557,188,85,60
Old Spitalfields Market,"Buckingham Palace Road, London SW1A 1AA England",4.5,0,239,N/A,The Queen's Gallery hosts a programme of changing exhibitions from the Royal Collect,"['Museums', 'Shopping', 'Art Museums', 'Art Galleries', 'More']",391,232,94,32,26
Lord's Cricket Ground,"Ariel Way Shepherds Bush, White City, London W12 7GF England",4.5,0,255,N/A,"Unlike its Stratford branch, the original Westfield has a special wing, The Village, devoted to 30+ luxury brands like Louis Vuitton and Prada, plus the usual mall staples, restaurants, and a cin","['Shopping', 'Shopping Malls']",1076,712,164,45,91
Royal Mews,"Horse Guards Whitehall, London SW1A 2AX England",4.5,£13.00,188,N/A,"Built in 1745 to house the old palace guards, this is London's largest single open space that is used for the changing of the gua","['Sights & Landmarks', 'Points of Interest & Landmarks']",511,345,107,21,7
Royal Opera House,"3 Abbey Road, London NW8 9AY England",4.5,0,257,N/A,Walk this historic street in London and you are transported back to the turbulent era of the 1960s and the musical phenomenon of the Beat,"['Sights & Landmarks', 'Points of Interest & Landmarks', 'Historic Walking Areas', 'Historic Sites', 'More']",710,579,290,52,18
The All England Lawn Tennis Club,N/A,4.5,0,55,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",156,44,7,0,2
Chelsea Physic Garden,"1 Piccadilly Circus Piccadilly Circus, London W1J 0DA England",4.5,0,107,3,Journey through the human body and discover the magic and mysteries that lie underneath the skin. Dr Gunther von Hagens’ world-renowned exhibition of real human bodies now has a permanent home in London’s iconic Piccadilly Circus. The exhibition has...,"['Museums', 'Speciality Museums']",321,100,39,14,7
Portobello Road Market,"39 Wellington Street Covent Garden Piazza, London WC2E 7BB England",4.0,0,323,2,"Keeping our visitors and staff safe is our top priority. Following Government advice about #Covid_19, the Museum, Shop and Canteen in Covent Garden and the Depot in Acton will remain closed from now until further notice. Check our website for...","['Museums', 'Speciality Museums', 'History Museums']",1106,1024,398,109,76
St. Dunstan in the East,"183 Euston Road, London NW1 2BE England",4.5,0,144,N/A,"Open on Bank Holiday Mondays, 10am - 6pm. Wellcome Collection is a free museum and library that aims to challenge how we all think and feel about health. Through exhibitions, collections, live programming, digital, broadcast and publishing, we...","['Museums', 'Art Museums', 'Science Museums', 'Speciality Museums', 'More']",584,298,64,12,11
Eltham Palace and Gardens,N/A,4.5,0,172,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",791,683,142,22,16
Westminster Cathedral,"21 University Street, London WC1E 6DE England",4.5,0,80,N/A,"The Grant Museum is the only remaining university zoological museum in London. It houses around 67,000 specimens, covering the whole of the Animal Kingdom. Founded in 1827 as a teaching collection, the Museum is packed full of skeletons, mounted...","['Museums', 'Speciality Museums']",314,148,15,4,0
The Courtauld Gallery,N/A,4.5,0,87,N/A,N/A,"['Museums', 'Speciality Museums']",229,91,21,6,3
Novello Theatre,N/A,4.5,0,112,N/A,N/A,"['Sights & Landmarks', 'Churches & Cathedrals', 'Sacred & Religious Sites']",467,314,68,5,1
Temple Church,"42 Newington Causeway, London SE1 6DR England",4.5,0,270,3,"Mercato Metropolitano, centrally located in London's south-east Elephant & Castle, is the city’s first sustainable community market focused on revitalising neighbourhoods and protecting the environment. The market has incubated more than 40 food and...","['Shopping', 'Food & Drink', 'Farmers Markets']",409,196,51,22,39
Museum of Brands,"Whitehall Palace Whitehall Horse Guards Avenue, London SW1A 2ER England",4.5,£9.00,155,2,"Admire the epic Rubens' ceiling and discover the site of Charles I's execution at Banqueting House, Whitehall - a magnificent survivor of the lost royal Palace of Whitehall. Once the principle setting for the passions, intrigues and ceremonies of...","['Sights & Landmarks', 'Museums', 'Art Museums', 'Historic Sites', 'Architectural Buildings', 'More']",295,245,78,15,8
Abbey Road Studios,N/A,4.5,0,280,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",528,664,214,52,28
Tate Modern,"8A Weir Road, London SW12 0NA England",4.0,0,22,N/A,"Visit us at the Home of English Gin in Balham, South West London to explore the stories and processes behind our full range of True English Gins. Meet the team, see the stills, nose the botanicals and taste the gins in a welcoming and friendly...","['Food & Drink', 'Distilleries']",295,5,0,0,0
The London Film Museum - Covent Garden,N/A,4.5,£16.00,260,N/A,N/A,"['Sights & Landmarks', 'Observation Decks & Towers', 'Points of Interest & Landmarks']",2168,1070,387,131,146
National Maritime Museum,"London Wetland Centre Queen Elizabeth Walk Barnes, London SW13 9WT England",4.0,0,166,N/A,"Nestled in a loop of the Thames, London Wetland Centre is an urban oasis for wildlife and people; a rural idyll in the heart of the capital. Voted the UK’s Favourite Nature Reserve by readers of Country file magazine, it is perfect for a relaxing...","['Nature & Parks', 'Nature & Wildlife Areas']",380,163,53,15,8
Piccadilly Circus,N/A,4.0,0,92,N/A,N/A,"['Museums', 'Art Museums', 'History Museums']",152,91,17,1,1
Kyoto Garden,"186 Portobello Road, London W11 1LA England",4.5,0,24,N/A,The Ginstitute provides a unique and unrivalled opportunity to better understand the true spirit of London. Patrons begin their spirituous journey in the UK's second smallest museum - The Ginstitute. Our Gin Instructor will take you through the long...,"['Food & Drink', 'Distilleries']",538,46,5,3,4
Her Majesty's Theatre London,N/A,4.5,£94.00,216,N/A,N/A,"['Concerts & Shows', 'Theatres']",473,154,65,40,28
Science Museum,"25 Brook Street Mayfair, London W1K 4HB England",4.0,0,108,2,"In a single street in London, separated by a wall, are the homes of two of history's most significant musical artists. 25 Brook Street is the house that belonged to George Frideric Handel and the place where he composed some of the world's most...","['Museums', 'Speciality Museums']",251,148,58,14,17
Tottenham Experience,"49 Aldwych, London WC2B 4DF England",5.0,0,283,N/A,There can be no other theatre in the world which has two such distinct and diverse claims to fame as the Aldwych.During the period from 1925 until 1933 the theatre housed a series of farces by Ben Travers which have gone down in history as 'The...,"['Concerts & Shows', 'Theatres']",886,278,78,40,67
Westminster,"The Strand, London WC2R 1LA England",4.5,0,175,N/A,"Somerset House is a spectacular neo-classical building in the heart of London, sitting between the Strand and the River Thames. During summer months 55 fountains dance in the courtyard, and in winter you can skate on London's favourite ice rink...","['Sights & Landmarks', 'Museums', 'Architectural Buildings', 'Historic Sites', 'Art Museums', 'More']",525,353,78,21,12
Oxford Street,"St. Mary Overies Dock Cathedral Street Cathedral St., London SE1 9DE England",4.0,0,202,N/A,Visit this living-history museum and find out what it was like to sail the mighty seas aboard an Elizabethan galleon during the adventurous days of the 16th cent,"['Sights & Landmarks', 'Museums', 'Points of Interest & Landmarks', 'Speciality Museums', 'Ships', 'More']",305,161,69,18,8
Sir John Soane's Museum,N/A,4.5,0,273,N/A,N/A,"['Sights & Landmarks', 'Transportation', 'Mass Transportation Systems', 'Points of Interest & Landmarks', 'More']",862,948,297,42,33
Harrods,N/A,4.0,0,113,N/A,N/A,"['Sights & Landmarks', 'Arenas & Stadiums']",125,57,14,2,2
Royal Observatory Greenwich,N/A,4.0,£16.00,195,N/A,N/A,['Nature & Parks'],585,529,171,10,4
Brick Lane Market,"Regent's park, London W2 1TH England",4.5,0,332,N/A,"Picturesque London neighborhood marked by its canal waterway and broad tree-lined streets, Little Venice was built between 1810 and 1870 and was the popular haunt of many artists, writers and scienti","['Sights & Landmarks', 'Other', 'Historic Sites', 'Neighbourhoods', 'More']",367,402,165,53,18
Clink Prison Museum,N/A,4.0,£8.00,136,N/A,N/A,"['Shopping', 'Flea & Street Markets']",178,101,17,5,1
Leicester Square,"20 Maresfield Gardens, London NW3 5SX England",4.0,0,137,N/A,"Discover the story of psychoanalysis, see Freud's study, extraordinary collection and iconic couch. This beautiful house in leafy Hampstead was the home of Sigmund Freud and his family when they fled from Nazi rule in Austria in 1938. It remained...","['Museums', 'Art Museums', 'History Museums', 'Speciality Museums', 'More']",199,99,29,7,6
Maltby Street Market,"Apsley House 149 Piccadilly Hyde Park Corner, London W1J 7NT England",4.5,0,147,N/A,"Apsley House is internationally famous as the home of the 1st Duke of Wellington and his descendants. As such it is also a memorial to Britain’s triumph over the Napoleonic threat. It is also significant as a restored historic house, a celebration...","['Sights & Landmarks', 'Museums', 'History Museums', 'Historic Sites', 'More']",413,255,56,8,7
Millennium Bridge,London England,4.0,0,134,N/A,The Western London district of Mayfair is an elegant residential and commercial section of Westmins,"['Sights & Landmarks', 'Other', 'Neighbourhoods']",161,75,25,4,3
Freemasons' Hall,"The Charterhouse Charterhouse Square, London EC1M 6AN England",4.5,0,40,2,"The Charterhouse has been living the nation’s history since 1348. Founded as a medieval monastery of the Carthusian order, the site became a Tudor mansion, a boys’ school, and an almshouse, which it remains to this day. We provide accommodation for...","['Museums', 'History Museums']",207,46,5,0,0
Greenwich Market,N/A,4.5,0,153,N/A,N/A,"['Nature & Parks', 'Bodies of Water']",309,209,38,10,5
South Bank,N/A,4.5,0,214,N/A,N/A,['Nature & Parks'],181,141,33,4,6
Columbia Road Flower Market,"1 Bartholomew Lane, London EC2N 8AH England",4.5,0,201,2,"This fascinating Museum, located within the impressive walls of the Bank of England, tells the history of the Bank from its foundation in 1694 to the present day. Its unique collections of coins, banknotes and artefacts are supplemented by...","['Museums', 'Speciality Museums']",385,315,83,11,6
London Palladium,N/A,4.0,0,197,N/A,N/A,"['Sights & Landmarks', 'Architectural Buildings', 'Points of Interest & Landmarks']",210,164,45,5,2
Leake Street Arches,"Kensington Gardens Kensington Gardens, London W8 4PX England",4.5,0,370,3,"Explore the birthplace of Queen Victoria and home to young royals for over 300 years. Walk in the footsteps of royalty in Victoria’s re-imagined childhood rooms, the magnificent King’s State Apartments and the famous Sunken Garden. View an exquisite...","['Sights & Landmarks', 'Nature & Parks', 'Historic Sites', 'Gardens', 'Castles', 'More']",1736,1715,1087,502,373
Prince Edward Theatre,"Silk Street Barbican Centre, London EC2Y 8DS England",4.5,£42.50,271,N/A,"The Barbican Centre is the largest multi-arts centre in Europe, featuring art, film, music, theatre, dance and education all under one roof and under one creative direction. There's a great choice of eating and drinking at the Barbican, with...","['Concerts & Shows', 'Museums', 'Art Museums', 'Theatres', 'More']",735,494,184,66,42
Canary Wharf,"The Kia Oval Kennington Oval Kennington Oval, London SE11 5SS England",4.5,0,171,3,"International Cricket Venue and home of Surrey County Cricket Club, the Kia Oval is also a world class conference and events cen","['Sights & Landmarks', 'Arenas & Stadiums']",184,126,31,8,7
Royal Academy of Arts,"Old Brompton Road, London England",4.5,0,150,N/A,Fashionable district that is close to many of London's finest museums and antique sh,"['Sights & Landmarks', 'Other', 'Neighbourhoods']",183,155,14,4,0
The Queen's Gallery,"Strand, London WC2A 2LL England",4.0,£13.50,132,2,"The Royal Courts of Justice are an attraction well worth a visit. Close enough to Parliament, the Temple and The City. With stunning Victorian architecture, a small costume exhibition. The courts were designed by George Edmund Street and took more...","['Sights & Landmarks', 'Points of Interest & Landmarks', 'Government Buildings', 'Historic Sites', 'Architectural Buildings', 'More']",169,122,15,0,1
Westfield London,"22 - 24 Bride Lane, London EC4Y 8DT England",4.5,0,39,3,The City of London Distillery is a unique combination of a working gin distillery and a speakeasy style cocktail bar - called the COLD bar. We're open from 12:00 mid-day until 11 pm (Mon-Fri) and from 4 to 11 pm (Sat) and welcome visitors to take a...,"['Food & Drink', 'Distilleries']",360,57,5,12,2
Horse Guards Parade at Whitehall,"Gassiott House 2 Lambeth Palace Road Gassiott House, St. Thomas' Hospital, London SE1 7EW England",4.5,0,241,2,"The Florence Nightingale Museum celebrates the life and work of one of the best known figures in nursing history and one of Britain's great Victorians who truly changed the world. Located within St Thomas’ Hospital, the museum was opened in 1989 and...","['Museums', 'Speciality Museums']",209,231,106,23,5
Abbey Road,"Royal Hospital Road, London SW3 4SR England",4.0,0,65,2,"The Royal Hospital Chelsea was founded in 1682 by King Charles II as the home of the Chelsea Pensioners. As well as being a wonderful home for retired service personnel, it is also one of London's best kept secrets! While the site is generally open...","['Museums', 'Sights & Landmarks', 'Points of Interest & Landmarks', 'History Museums', 'More']",189,71,4,0,0
Gods Own Junkyard,"443 North Woolwich Road, London E16 2DA England",4.5,0,23,N/A,"Theatre and dining venue based in London's Docklands, offering a modern take on traditional music hall-style entertainment. Groups and parties welcome. Attracts a younger crowd in the evenings; lunches and ""pensioner matinees"" available all year...","['Concerts & Shows', 'Theatres']",1104,52,15,4,2
BODY WORLDS London,"Church Road, Wimbledon All England Lawn Tennis & Croquet Club, London SW19 5AE England",4.5,0,54,N/A,"Wimbledon is one of the most famous and oldest tennis tournaments in the world, and has been held at the All England Club in Wimbledon, London since 1877. The tournament lasts for two weeks from Late June to early July. The events consist of ladies...","['Events', 'Sporting Events']",137,31,5,1,3
London Transport Museum,N/A,4.0,£16.50,51,N/A,N/A,"['Nature & Parks', 'Gardens']",86,25,4,1,0
Wellcome Collection,"Marylebone Road, London NW1 5LR England",4.5,0,98,N/A,"STARDOM awaits you! Step into the spotlight as you accept your exclusive invitation to Madame Tussauds London, the home of famous fun in the capital. Join your favourite celebs at the ULTIMATE A-list party, strut your stuff on the catwalk with Cara...","['Museums', 'Speciality Museums']",12143,9707,5332,2075,1761
Regent Street,"Catherine Street Covent Garden, London WC2B 5JF England",4.5,0,91,N/A,"Since 1663 the Theatre Royal Drury Lane has provided entertainment for the masses and has been visited by every monarch since the Restoration.The theatre has not one, but two, royal boxes and it was here that the public first heard both the National...","['Concerts & Shows', 'Theatres']",689,266,76,27,19
Grant Museum of Zoology,"Royal Hospital Road, London SW3 4SR England",4.5,0,258,N/A,"Love gardening? Fanatical about flowers? Then the RHS Chelsea Flower Show should definitely be top of your London list! Held in the gorgeous grounds of the prestigious Royal Hospital Chelsea each May, Britain’s largest flower show has been running...","['Events', 'Cultural Events']",246,107,56,21,16
London Mithraeum,"Inner Circle Regent's Park, London England",4.5,0,61,N/A,"Lovely formal rose gardens located within Regent's Park, which feature visual delights such as a rock garden, statues, fountains and waterfa","['Nature & Parks', 'Gardens']",126,35,7,1,1
Southwark Cathedral,N/A,4.5,0,211,N/A,N/A,"['Concerts & Shows', 'Theatres']",710,273,82,30,48
Mercato Metropolitano,N/A,4.5,0,125,N/A,N/A,"['Shopping', 'Museums', 'Art Museums', 'Art Galleries', 'More']",242,145,26,3,1
Banqueting House,London England,4.5,£7.50,52,N/A,"This charming town lies northwest of London and features many popular attractions including the Sigmund Freud Museum, Fenton House and John Keats' Ho","['Sights & Landmarks', 'Other', 'Historic Sites', 'Neighbourhoods', 'More']",110,40,2,1,0
Paddington Station,"Open Air Theatre Inner Circle Regents Park Regent's Park, London NW1 4NU England",4.0,0,111,N/A,"The award-winning Regent’s Park Open Air Theatre is a London landmark – a firm fixture of summer in the city, providing a cultural hub in the beautiful surroundings of a Royal Park. The wonderfully unpredictable nature of outdoor theatre makes each...","['Concerts & Shows', 'Theatres']",553,129,21,10,29
Hayman's Distillery,N/A,5.0,0,180,N/A,N/A,"['Concerts & Shows', 'Theatres']",727,251,73,31,37
ArcelorMittal Orbit,"next to her Kensington Palace home, London W2 3XA England",4.5,£11.50,130,3,"This seven-mile walkway in memory of Diana, Princess of Wales, winds its way through four of London's Royal parks, linking the palaces and mansions associated with her l","['Fun & Games', 'Nature & Parks', 'Playgrounds']",541,200,61,25,16
WWT London Wetland Centre,"3 Potters Field Park Potters Field, London SE1 2SG England",4.5,0,119,3,The Bridge is the first wholly new theatre of scale to be added to London’s commercial theatre sccene in 80 years. Now o,"['Concerts & Shows', 'Theatres']",184,67,19,9,7
Petrie Museum of Egyptian Archaeology,"100 London Road Forest Hill, London SE23 3PQ England",4.5,0,181,N/A,"The Horniman Museum and Gardens is an inspiring, surprising, family-friendly, free attraction in South London’s Forest Hill.The Museum has been open since Victorian times, when Frederick John Horniman first opened his house and extraordinary...","['Museums', 'Natural History Museums', 'Art Museums']",338,248,70,21,5
The Ginstitute,N/A,5.0,0,117,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",176,71,9,6,3
Victoria Palace Theatre,"Gracechurch Street, London EC3V 1LR England",4.5,0,334,N/A,"Leadenhall is a thriving Victorian covered retail centre with a wide range of goods on sale. Its cobbled walkways and glass roof make it an attractive place to shop, eat and drink or simply to relax. Famous visitors include John Wayne, Clint...","['Shopping', 'Flea & Street Markets']",256,338,112,16,5
Handel & Hendrix in London,N/A,4.0,£10.00,99,N/A,N/A,"['Concerts & Shows', 'Theatres']",467,149,28,16,21
Aldwych Theatre,"Chalk Farm Road, London NW1 8EH England",4.5,£80.00,186,3,"From modest Victorian beginnings – beginning life in 1846 as a steam-engine repair shed – to legendary cultural venue, the Roundhouse has an enviable heritage. The Grade II* listed building is a space dedicated to nurturing creative young talent, as...","['Concerts & Shows', 'Theatres']",277,128,29,10,18
Somerset House,"Kenwood House Hampstead Lane, London NW3 7JR England",4.5,0,170,N/A,"Set on the edge of Hampstead Heath and surrounded by tranquil landscaped gardens, Kenwood is one of London's hidden gems. The House, its breathtaking interiors and stunning art collection are free for everyone to enjoy. Discover the vast array of...","['Sights & Landmarks', 'Museums', 'Art Museums', 'Historic Sites', 'More']",510,233,43,16,22
Golden Hinde,"Regents Park Outer Circle, London NW1 4RY England",4.5,0,434,N/A,"ZSL London Zoo is packed full of wonder and amazement, with over 650 species of animals to meet and thousands more surprising and fascinating facts just waiting to be discovered. Find yourself face-to-face with our Asiatic lions and our friendly...","['Zoos & Aquariums', 'Nature & Parks', 'Outdoor Activities']",2416,2173,1305,634,435
King's Cross Station,N/A,4.0,0,269,N/A,N/A,"['Nature & Parks', 'Gardens']",68,10,3,1,0
Stamford Bridge,N/A,4.5,0,374,N/A,N/A,"['Sights & Landmarks', 'Other', 'Historic Walking Areas', 'Neighbourhoods', 'More']",668,1012,590,95,29
Green Park,"County Hall Westminster Bridge Road County Hall, London SE1 7PB England",4.5,0,472,3,"Dive in to an underwater world here at SEA LIFE London Aquarium, home to over 5,000 creatures. Explore London's flagship aquarium where you could learn something a-RAY-zing, spot a feeding frenzy or two and even meet some of our FIN-tastic frie","['Nature & Parks', 'Zoos & Aquariums']",1819,2110,1638,733,552
Little Venice,"31 Coventry Street Westminster, London W1D 6AS England",4.0,0,47,N/A,"Prince of Wales Theatre will run the mesmerizing London musical, Book of Mormon or Let It Be London musical tickets, which has already set the Broadway box office register ring","['Concerts & Shows', 'Theatres']",331,124,20,8,6
Broadway Market,N/A,4.5,0,230,N/A,N/A,"['Sights & Landmarks', 'Architectural Buildings']",357,166,82,27,22
Freud Museum,"South Bank, Waterloo, London SE1 9PX England",4.5,0,154,N/A,"This is a theatre that everyone can enjoy, from the classics and spectacular musicals to new plays and special events for the entire fam","['Concerts & Shows', 'Theatres']",785,203,62,26,20
Apsley House,"Horse Guards Whitehall, London SW1A 2AX England",4.5,0,183,N/A,"Situated at Horse Guards, Whitehall between Trafalgar Square and Westminster Abbey the Museum lies at the heart of historic London in magnificent mid 18th century vaulted stables. Dazzling displays of uniforms, weaponry and other prized exhibits...","['Museums', 'Speciality Museums']",208,178,55,8,4
Mayfair,N/A,4.5,0,298,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",154,245,81,9,2
The Charterhouse,London England,5.0,0,243,N/A,Major London thoroughfare known for its many shops offering luxurious apparel and fine consumer go,"['Sights & Landmarks', 'Points of Interest & Landmarks']",263,261,64,6,6
Regent's Canal,"Craven Cottage Stevenage Road Fulham, London SW6 6HH England",4.5,0,82,N/A,"Don't just watch Fulham's 2016/17 campaign, experience it from the comfort of one of our Match-day Hospitality packages. With 23 league fixtures to be played at Craven Cottage, don't miss out on enjoying the best views of the game, first-class...","['Sights & Landmarks', 'Fun & Games', 'Arenas & Stadiums', 'Sports Complexes', 'More']",264,92,18,3,6
Crystal Palace Park,"King's Road Duke of York's HQ, London SW3 4RY England",4.5,0,268,3,Contemporary art from unknown designers and artists from all over the w,"['Museums', 'Art Museums']",1017,506,151,53,56
Bank of England Museum,N/A,4.5,0,90,N/A,N/A,"['Sights & Landmarks', 'Scenic Walking Areas']",110,64,5,2,0
30 St Mary Axe (The Gherkin),N/A,4.5,0,199,N/A,N/A,"['Concerts & Shows', 'Theatres']",398,210,86,29,32
Kensington Palace,N/A,3.5,0,349,N/A,N/A,"['Other', 'Sights & Landmarks', 'Neighbourhoods', 'Points of Interest & Landmarks', 'More']",157,39,18,4,12
Barbican Centre,"20 Montford Place Kennington, London SE11 5DE England",4.0,0,242,2,"Beefeater London: The Home of Gin, the capital's first dedicated gin distillery , lifts the lid on the extraordinary stories and events behind one of the world's favourite spirits. Beefeater Gin, is the only historic dry gin still distilled in the...","['Food & Drink', 'Distilleries']",171,94,50,9,7
The Kia Oval,"Parliament Sqaure Elizabeth Tower - Houses of Parliament, Westminster, London SW1A 0AA England",4.5,£15.00,70,N/A,"This place is temporarily closed. Elizabeth Tower is the name of the famous clock tower which stands at the Houses of Parliament. The name Big Ben is often used to describe the tower, the clock and the bell but the name was first given to the Great...","['Sights & Landmarks', 'Points of Interest & Landmarks']",19663,7713,2818,841,756
South Kensington,"14 Gallery Road Dulwich Village, London SE21 7AD England",4.5,0,163,N/A,Dulwich Picture Gallery is the world’s first purpose-built public art gallery: it was founded in 1811 when Sir Francis Bourgeois RA bequeathed his collection of old masters “for the inspection of the public”. Today the Gallery is a vibrant cultural...,"['Museums', 'Shopping', 'Art Galleries', 'Art Museums', 'More']",262,150,33,11,4
Royal Courts of Justice,N/A,4.5,0,225,N/A,N/A,"['Concerts & Shows', 'Theatres']",782,347,115,37,42
City of London Distillery,"St. Paul's Churchyard The City, London EC4M 8BX England",4.5,0,43,N/A,"The City Information Centre is located in London's historic heart, the Square Mile - opposite St Paul's Cathedral . The multi-lingual staff are on hand to help any visitors with their questions and queries 7 days a week. It is your one-stop shop for...","['Traveller Resources', 'Visitor Centres']",91,28,1,0,1
Florence Nightingale Museum,"34 Haymarket, London SW1Y 4HA England",4.0,0,247,N/A,Fatal Attraction - The timeless thriller comes to the stage for the first time. Fatal Attraction is the new psychological thriller play at the Theatre Royal Haymarket based on the 1987 hit movie. The play is produced and directed by Sir Trevor Nunn...,"['Concerts & Shows', 'Theatres']",430,202,59,22,59
Royal Hospital Chelsea,"Romney Road Greenwich, London SE10 9NF England",4.5,0,176,N/A,"Serving as the Royal Residence, this historic house was commissioned by Queen Anne of Denmark, the wife of James I (reigned 1603-25), and now displays the National Maritime Museum's early art collection and sponsors special eve","['Sights & Landmarks', 'Museums', 'Architectural Buildings', 'Art Museums', 'More']",186,124,43,4,2
Brick Lane Music Hall,N/A,5.0,0,482,N/A,N/A,"['Events', 'Cultural Events']",1882,1726,887,392,434
Wimbledon,London England,4.5,0,121,N/A,"London's Broadway covers everything that smacks of theater and performance is here including concerts, sporting events, musicals and stage performan","['Other', 'Sights & Landmarks', 'Neighbourhoods']",361,172,29,12,11
Garden at 120,N/A,4.5,0,145,N/A,N/A,['Nature & Parks'],158,94,14,1,4
Madame Tussauds London,N/A,4.0,£29.00,204,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",106,121,27,4,2
Theatre Royal Drury Lane,N/A,4.5,0,378,N/A,N/A,"['Sights & Landmarks', 'Architectural Buildings', 'Points of Interest & Landmarks']",137,258,96,21,22
RHS Chelsea Flower Show,N/A,4.0,0,205,N/A,N/A,"['Sights & Landmarks', 'Other', 'Neighbourhoods']",71,69,15,1,0
Queen Mary's Gardens,N/A,4.5,0,88,N/A,N/A,"['Concerts & Shows', 'Theatres']",431,153,32,15,12
London Coliseum,N/A,4.5,0,511,N/A,N/A,"['Museums', 'Speciality Museums']",902,1032,742,288,231
Guildhall Art Gallery,"Olympic Stadium O Olympic Stadium Stratford Station, London E20 2ST England",4.5,0,317,N/A,"A new heart for east London, Queen Elizabeth Olympic Park is the city's newest park. It will be a new home to thousands and a new destination for millions. The Park is now open for the public to visit and is already coming alive as visitors explore...","['Sights & Landmarks', 'Nature & Parks', 'Points of Interest & Landmarks']",522,402,156,73,44
Hampstead,"1 Graces Alley, London E1 8JB England",4.5,0,95,2,"Wilton's is the world's oldest surviving Grand Music Hall. After years of dereliction it is now open as a full time theatre, bar and historic landmark. This stunning and atmospheric building puts on a range of ticketed events including theatre...","['Concerts & Shows', 'Theatres']",242,66,3,10,7
Regent's Park Open Air Theatre,"Seven Dials Covent Garden, London WC2 England",4.5,0,220,N/A,"Welcome to Seven Dials, the intriguing network of seven atmospheric streets that link Covent Garden to Soho. Always buzzy, packed with independent boutiques, international fashion labels, heritage brands, beauty salons, men’s grooming specialists...","['Sights & Landmarks', 'Other', 'Neighbourhoods']",104,92,23,2,0
Lyceum Theatre,"12 Holland Park Road Kensington, London W14 8LZ England",4.5,0,179,2,"*Please note that Leighton House Museum opens on Saturdays and Sundays only, from 10am to 5:30pm, due to a major restoration underway. The Museum will reopen in Spring 2021 * Leighton House Museum is the former home of the Victorian artist Frederic...","['Museums', 'Art Museums']",407,198,49,23,1
Diana Princess of Wales Memorial Playground,"12 Crooms Hill, London SE10 8ER England",4.5,0,142,N/A,"The UK's only Museum devoted to the history of fans and the craft of fan making. Nestled in the heart of historic Greenwich, The Fan Museum is home to a diverse collection of fans from around the world, dating from the 12th century to the present...","['Museums', 'Speciality Museums']",160,81,23,7,1
Bridge Theatre,N/A,4.5,0,299,N/A,N/A,"['Shopping', 'Shopping Malls']",108,198,43,2,3
Horniman Museum and Gardens,"Savoy Court Strand Strand, London WC2R 0ET England",4.5,0,219,N/A,Built by theatre impresario Richard D'Oyly Carte to showcase the work of Gilbert & Sullivan and famously the first public building in the world to be lit throughout by electricity. The Savoy Theatre is currently home to 9 to 5 - The Musi,"['Concerts & Shows', 'Theatres']",1359,403,139,67,90
Pop Brixton,London England,4.5,0,272,N/A,An attractive and quiet business and residential area of central Lon,"['Other', 'Sights & Landmarks', 'Neighbourhoods']",60,52,14,0,0
